seed,dt,error
16,4.96369887e-07,3.083246696659029e-05
17,4.96369887e-07,2.2341703774609477e-05
18,4.96369887e-07,2.0231992639300184e-05
19,4.96369887e-07,9.701214460305632e-05
20,4.96369887e-07,3.018815478462421e-05
21,4.96369887e-07,3.585306067875432e-05
22,4.96369887e-07,6.02777837964111e-05
23,4.96369887e-07,3.930792825873908e-05
24,4.96369887e-07,1.1249048471732827e-06
25,4.96369887e-07,5.611938397601374e-05
26,4.96369887e-07,1.3532701528367034e-05
27,4.96369887e-07,4.136236730520828e-05
28,4.96369887e-07,5.610933809108797e-05
29,4.96369887e-07,7.724865158226053e-06
30,4.96369887e-07,3.966798078581555e-05
31,4.96369887e-07,9.33817688169262e-05
32,4.96369887e-07,1.915166004796768e-05
33,4.96369887e-07,1.382178312552457e-05
34,4.96369887e-07,1.0087509455e-05
35,4.96369887e-07,3.471117338059825e-05
36,4.96369887e-07,9.30548605270884e-06
37,4.96369887e-07,2.04972643892323e-05
38,4.96369887e-07,1.5959514662589714e-05
39,4.96369887e-07,2.449226867471185e-05
40,4.96369887e-07,2.136235827507906e-05
41,4.96369887e-07,2.750558190801737e-05
42,4.96369887e-07,0.0001235962843343
43,4.96369887e-07,5.120395694117696e-05
44,4.96369887e-07,5.678051666133907e-05
45,4.96369887e-07,5.9802902219026506e-05
46,4.96369887e-07,4.9150530878301445e-05
47,4.96369887e-07,0.0001337658682634
48,4.96369887e-07,1.8601153544967624e-05
49,4.96369887e-07,1.9633401024649404e-05
0,8.96369887e-07,1.408746949025845e-05
1,8.96369887e-07,0.0003563866519329
2,8.96369887e-07,7.042426740621297e-05
3,8.96369887e-07,8.552159174410967e-05
4,8.96369887e-07,5.374448665619457e-05
5,8.96369887e-07,9.586802345252272e-05
6,8.96369887e-07,0.0002599657352816
7,8.96369887e-07,4.021034369647659e-05
8,8.96369887e-07,0.000239565276014
9,8.96369887e-07,4.05186186553606e-05
10,8.96369887e-07,0.0003233495924335
11,8.96369887e-07,0.0001396131204209
12,8.96369887e-07,6.786459561676586e-05
13,8.96369887e-07,0.0002101187551326
14,8.96369887e-07,0.0003517357841302
15,8.96369887e-07,0.0002237085545252
16,8.96369887e-07,0.000237395854197
17,8.96369887e-07,9.758821054118112e-05
18,8.96369887e-07,0.0002792062602333
19,8.96369887e-07,0.0002171620073089
20,8.96369887e-07,5.527042580955423e-05
21,8.96369887e-07,0.0002550230042783
22,8.96369887e-07,1.6548389492675656e-05
23,8.96369887e-07,1.757715125449967e-05
24,8.96369887e-07,0.0001554735049508
25,8.96369887e-07,4.287171693829448e-05
26,8.96369887e-07,0.000405883207
27,8.96369887e-07,0.0002364040215827
28,8.96369887e-07,0.0001494634994896
29,8.96369887e-07,7.580090987151602e-05
30,8.96369887e-07,0.0001571051884641
31,8.96369887e-07,6.837568637849082e-05
32,8.96369887e-07,0.000402384104101
33,8.96369887e-07,4.9436875606517296e-06
34,8.96369887e-07,0.0001239249039186
35,8.96369887e-07,0.0002842934382795
36,8.96369887e-07,7.295616070068767e-05
37,8.96369887e-07,0.000137969249464
38,8.96369887e-07,0.0003279346729705
39,8.96369887e-07,1.0362357093877578e-05
40,8.96369887e-07,0.0001460662813976
41,8.96369887e-07,0.000178429931703
42,8.96369887e-07,0.0001123545624345
43,8.96369887e-07,0.0001168492408938
44,8.96369887e-07,2.6283301737856877e-05
45,8.96369887e-07,9.321425595507414e-05
46,8.96369887e-07,0.0002030827350723
47,8.96369887e-07,0.0001661950430205
48,8.96369887e-07,6.87590089956268e-05
49,8.96369887e-07,2.6587143489405604e-05
0,1.21848613e-06,0.0005105505872303
1,1.21848613e-06,0.0002881752765217
2,1.21848613e-06,9.313369350394228e-05
3,1.21848613e-06,0.0001300032405448
4,1.21848613e-06,0.0003738461457894
5,1.21848613e-06,0.0004614905756759
6,1.21848613e-06,0.0004048557316401
7,1.21848613e-06,0.0002592874661929
8,1.21848613e-06,0.0002457209310704
9,1.21848613e-06,0.0005288173010232
10,1.21848613e-06,0.0001129153157005
11,1.21848613e-06,0.0003471577025631
12,1.21848613e-06,5.90319341223788e-05
13,1.21848613e-06,0.0006609585130182
14,1.21848613e-06,3.480885889146876e-05
15,1.21848613e-06,0.0002905660267786
16,1.21848613e-06,0.000199933178834
17,1.21848613e-06,0.000455125665333
18,1.21848613e-06,0.0002054620682388
19,1.21848613e-06,0.0001844396568811
20,1.21848613e-06,0.0006513930825081
21,1.21848613e-06,0.0002637250298049
22,1.21848613e-06,5.961592488254623e-05
23,1.21848613e-06,0.000242966145685
24,1.21848613e-06,0.0001525069876846
25,1.21848613e-06,0.0005260424748646
26,1.21848613e-06,0.0001686441497542
27,1.21848613e-06,0.0002685650384803
28,1.21848613e-06,0.0001768643860607
29,1.21848613e-06,0.0003191256014728
30,1.21848613e-06,0.000280823455675
31,1.21848613e-06,0.0002646959976498
32,1.21848613e-06,9.677445020944612e-05
33,1.21848613e-06,0.000308474681106
34,1.21848613e-06,5.665292914388048e-05
35,1.21848613e-06,0.0002421713397481
36,1.21848613e-06,8.664200941162984e-05
37,1.21848613e-06,0.0003502280054061
38,1.21848613e-06,0.000337764761862
39,1.21848613e-06,0.0001933810305352
40,1.21848613e-06,0.0001871167587881
41,1.21848613e-06,5.982131353014383e-05
42,1.21848613e-06,7.359522485815236e-05
43,1.21848613e-06,0.0003933948656283
44,1.21848613e-06,0.0003170978133057
45,1.21848613e-06,0.0001232109413934
46,1.21848613e-06,0.0002871801276914
47,1.21848613e-06,0.0001503109535872
48,1.21848613e-06,0.0002058566705954
49,1.21848613e-06,0.0003979427240647
0,2.89675556e-06,0.0028902495316378
1,2.89675556e-06,0.0024070860938436
2,2.89675556e-06,0.0048016432378345
3,2.89675556e-06,0.0031761039920647
4,2.89675556e-06,0.001885637054761
5,2.89675556e-06,0.0015387948141909
6,2.89675556e-06,0.0060860488429455
7,2.89675556e-06,0.0018503110327531
8,2.89675556e-06,0.0005754636927575
9,2.89675556e-06,0.0010896199767227
10,2.89675556e-06,0.0015175242003788
11,2.89675556e-06,0.0014229248573256
12,2.89675556e-06,0.0020707936307255
13,2.89675556e-06,0.0014794360184877
14,2.89675556e-06,0.0009810017047237
15,2.89675556e-06,0.0020077948769412
16,2.89675556e-06,0.0002377679603774
17,2.89675556e-06,0.0007149310915166
18,2.89675556e-06,0.0018624022613738
19,2.89675556e-06,0.0021947691406485
20,2.89675556e-06,0.0017208910751075
21,2.89675556e-06,0.0002569008298247
22,2.89675556e-06,0.0003030694031092
23,2.89675556e-06,0.0013351284391046
24,2.89675556e-06,0.0021419966841981
25,2.89675556e-06,0.001166079970607
26,2.89675556e-06,0.0027618867017923
27,2.89675556e-06,0.0019402959742329
28,2.89675556e-06,0.0007546636236768
29,2.89675556e-06,0.0022383969199424
30,2.89675556e-06,0.0009746349497464
31,2.89675556e-06,0.0010818602368354
32,2.89675556e-06,0.0010712069613742
33,2.89675556e-06,0.0034297021610828
34,2.89675556e-06,0.0015623979737601
35,2.89675556e-06,0.0007290430438152
36,2.89675556e-06,0.0019703536060648
37,2.89675556e-06,0.0005918970824334
38,2.89675556e-06,0.0022541856166663
39,2.89675556e-06,0.0015934950359516
40,2.89675556e-06,0.000783216358278
41,2.89675556e-06,0.0024212739072245
42,2.89675556e-06,0.0042318310658453
43,2.89675556e-06,0.0006033991153369
44,2.89675556e-06,0.0016159070711958
45,2.89675556e-06,0.0016610882822641
46,2.89675556e-06,0.0021285240109263
47,2.89675556e-06,0.0013232662718895
48,2.89675556e-06,0.0013297645014788
49,2.89675556e-06,0.0035306899418822
0,4.85088067e-06,0.0017106342381944
1,4.85088067e-06,0.0022230182189521
2,4.85088067e-06,0.0082224570776423
3,4.85088067e-06,0.0121125798182241
4,4.85088067e-06,0.0099632193251712
5,4.85088067e-06,0.0045459914239358
6,4.85088067e-06,0.003118624733013
7,4.85088067e-06,0.0038046139090343
8,4.85088067e-06,0.0057543902842605
9,4.85088067e-06,0.0086478758679975
10,4.85088067e-06,0.0104034098456397
11,4.85088067e-06,0.0092296886895053
12,4.85088067e-06,0.0061945298363555
13,4.85088067e-06,0.0013994249904721
14,4.85088067e-06,0.0104001012242002
15,4.85088067e-06,0.0095717022791984
16,4.85088067e-06,0.0106677520361987
17,4.85088067e-06,0.0094647260313748
18,4.85088067e-06,0.0123408586117492
19,4.85088067e-06,0.0021855255421243
20,4.85088067e-06,0.0035141724892032
21,4.85088067e-06,0.0108968415972125
22,4.85088067e-06,0.0069586279357967
23,4.85088067e-06,0.0041014825687158
24,4.85088067e-06,0.0090057899209013
25,4.85088067e-06,0.0044195056195605
26,4.85088067e-06,0.0041676829014803
27,4.85088067e-06,0.0021995141542259
28,4.85088067e-06,0.0079180596366839
29,4.85088067e-06,0.004009387133987
30,4.85088067e-06,0.0072542089642788
31,4.85088067e-06,0.0109150506594602
32,4.85088067e-06,0.0011831842663234
33,4.85088067e-06,0.0066834711196543
34,4.85088067e-06,0.0143526002300728
35,4.85088067e-06,0.0065680428558065
36,4.85088067e-06,0.0060474699197247
37,4.85088067e-06,0.0109266573196198
38,4.85088067e-06,0.0035498053992933
39,4.85088067e-06,0.0151848729902402
40,4.85088067e-06,0.009219776017237
41,4.85088067e-06,0.0091670052304029
42,4.85088067e-06,0.0037101235008804
43,4.85088067e-06,0.0013691614225622
44,4.85088067e-06,0.0066338608862796
45,4.85088067e-06,0.0084657968430413
46,4.85088067e-06,0.0057232370872381
47,4.85088067e-06,0.0080390281097089
48,4.85088067e-06,0.0028532152143495
49,4.85088067e-06,0.0022689056416473
0,8.85088067e-06,0.023442590026657
1,8.85088067e-06,0.0375631908085107
2,8.85088067e-06,0.0932131750282119
3,8.85088067e-06,0.0190627652166274
4,8.85088067e-06,0.0156149570923208
5,8.85088067e-06,0.0404994079922961
6,8.85088067e-06,0.0168008552144932
7,8.85088067e-06,0.0363395672414018
8,8.85088067e-06,0.0143612034085165
9,8.85088067e-06,0.0092360215073612
10,8.85088067e-06,0.0276677800350373
11,8.85088067e-06,0.0069785921105046
12,8.85088067e-06,0.0419744401929059
13,8.85088067e-06,0.0055340750873512
14,8.85088067e-06,0.0336664127996549
15,8.85088067e-06,0.0113051055812402
16,8.85088067e-06,0.0247666918457313
17,8.85088067e-06,0.0075964944815345
18,8.85088067e-06,0.0450393104008712
19,8.85088067e-06,0.0192436865795558
20,8.85088067e-06,0.0418412402032844
21,8.85088067e-06,0.0445783316116225
22,8.85088067e-06,0.0147806174984299
23,8.85088067e-06,0.0166813787701878
24,8.85088067e-06,0.0925032517073525
25,8.85088067e-06,0.0097895316751444
26,8.85088067e-06,0.0135381804624247
27,8.85088067e-06,0.0323343482119718
28,8.85088067e-06,0.0149405422844982
29,8.85088067e-06,0.0080616432283284
30,8.85088067e-06,0.0217640495787948
31,8.85088067e-06,0.0295124973480728
