Rkt4_Time,Rkt4_Error_w,Rkt4_Error_q,Euler_Time,Euler_Error_w,Euler_Error_q,Verlet_Time,Verlet_Error_w,Verlet_Error_q,Buss_Time,Buss_Error_w,Buss_Error_q,Johnson_Time,Johnson_Error_w,Johnson_Error_q,Fincham_Time,Fincham_Error_w,Fincham_Error_q,Omelyan_Time,Omelyan_Error_w,Omelyan_Error_q,Mercury_Time,Mercury_Error_w,Mercury_Error_q,SPIRAL_L_Time,SPIRAL_L_Error_w,SPIRAL_L_Error_q,SPIRAL_Time,SPIRAL_Error_w,SPIRAL_Error_q,SPIRAL_L_Time2,SPIRAL_L_Error_w2,SPIRAL_L_Error_q2,Rkt_Time,Rkt_Error_w,Rkt_Error_q
13.398659999661925,2.7104665876234173e-10,9.884302512781234e-8,13.398659999661925,0.015079482135998306,0.08187920359856196,13.398659999661925,0.004166867143050058,0.015814193981456514,13.398659999661925,1.0453626426029534e-6,3.2990095902702394e-6,13.398659999661925,3.7745097253147545e-6,0.0014631017405377098,13.398659999661925,0.0022102126665019227,0.021909738389332883,13.398659999661925,1.81717099312773e-6,0.0007068233652306997,13.398659999661925,0.6412394493327458,0.4934746370793417,13.398659999661925,2.1163189456016868e-9,8.821309992952545e-8,13.398659999661925,2.1182331160045074e-9,1.4084374075155833e-7,13.398659999661925,1.8171708072565708e-6,1.6522874970776087e-6,13.366834170854272,1.5296511432592535e-21,0.0
13.49864999965814,2.4236245542929377e-10,1.0060580217606225e-7,13.49864999965814,0.013823536423324309,0.07630377011280094,13.49864999965814,0.003764511925792488,0.0147638955243156,13.49864999965814,8.642298497755135e-7,1.9309783343239814e-6,13.49864999965814,3.3199588539604016e-6,0.0014787697035133387,13.49864999965814,0.001940804440404877,0.021614523649467095,13.49864999965814,1.6300992923979867e-6,0.000729715866333346,13.49864999965814,0.6025559842893032,1.363504235329819,13.49864999965814,1.8224280667008315e-9,8.98757141194751e-8,13.49864999965814,1.8240769161578589e-9,1.37892312427944e-7,13.49864999965814,1.6300991532170523e-6,1.4349804033185553e-6,13.467336683417086,1.492071015942908e-21,0.0
13.598639999654354,2.2181711691929134e-10,1.0209323607971263e-7,13.598639999654354,0.013001729856451903,0.07474721061233044,13.598639999654354,0.003486537897442575,0.01332093407882503,13.598639999654354,7.288479735102242e-7,2.4110290086012e-6,13.598639999654354,2.9923003394269107e-6,0.0014882333872670579,13.598639999654354,0.0017479137601460555,0.023579517993136144,13.598639999654354,1.4999757985213995e-6,0.0007506969189548179,13.598639999654354,0.6628220442150099,1.7843664341023342,13.598639999654354,1.6481207486092547e-9,9.486960548588937e-8,13.598639999654354,1.649723750255935e-9,1.331862464024333e-7,13.598639999654354,1.499975637563426e-6,1.3881663000289122e-6,13.5678391959799,1.4660220351197725e-21,0.0
13.698629999650569,2.336073526909121e-10,1.0351275930366886e-7,13.698629999650569,0.014256624339823405,0.07973885530908723,13.698629999650569,0.0037598544722065638,0.014782451480759759,13.698629999650569,7.119331429790728e-7,2.958696077347764e-6,13.698629999650569,3.138255376663808e-6,0.0014963794642363817,13.698629999650569,0.0018324526733002333,0.023020904197234755,13.698629999650569,1.6090484260194708e-6,0.0007716108848347012,13.698629999650569,0.7126958114039852,0.9508681248999347,13.698629999650569,1.8042562775638632e-9,9.4192847341796e-8,13.698629999650569,1.805943380724156e-9,1.3832843985329776e-7,13.698629999650569,1.6090482707834936e-6,1.5210187837029145e-6,13.668341708542714,1.4803029727356784e-21,0.0
13.798619999646784,2.6871054112724537e-10,1.0522527226092477e-7,13.798619999646784,0.017214055763626415,0.09894586011499598,13.798619999646784,0.004459765567560677,0.017758201234533286,13.798619999646784,7.602816927333477e-7,3.2738983990107682e-6,13.798619999646784,3.6182406818173356e-6,0.0015084769418072287,13.798619999646784,0.002112802345515208,0.02217753218585671,13.798619999646784,1.9002555507175506e-6,0.0007952376176655208,13.798619999646784,0.7584678285677222,0.982987072589357,13.798619999646784,2.2344303790687176e-9,9.11989265595699e-8,13.798619999646784,2.2364354329943834e-9,1.4824299218435927e-7,13.798619999646784,1.9002553935545428e-6,1.846430702030834e-6,13.768844221105528,1.3854794673887725e-21,0.0
13.898609999642998,2.799203037783637e-10,1.0686256683785129e-7,13.898609999642998,0.018708599233971144,0.10872683133203902,13.898609999642998,0.004757367013487771,0.018045828664249954,13.898609999642998,7.249444510290029e-7,2.11709266206009e-6,13.898609999642998,3.7501549841975216e-6,0.001520223583251883,13.898609999642998,0.002192633849202535,0.022364707722228563,13.898609999642998,2.019115298666874e-6,0.0008182025633100336,13.898609999642998,0.8659049823286831,1.7249690809031497,13.898609999642998,2.52352279356518e-9,9.317665909974544e-8,13.898609999642998,2.5260068785954893e-9,1.4932726098101846e-7,13.898609999642998,2.0191151511644314e-6,1.4975078689009288e-6,13.869346733668342,1.528353726177076e-21,0.0
13.998599999639213,2.287456209160529e-10,1.086936440261058e-7,13.998599999639213,0.015566951132211833,0.10680676640056354,13.998599999639213,0.0039016613202596407,0.01736739770965325,13.998599999639213,5.237797681703455e-7,1.8042476526723285e-6,13.998599999639213,2.9952426569387754e-6,0.0015335097903187366,13.998599999639213,0.0017439276268664172,0.02335167113771368,13.998599999639213,1.6376847614598803e-6,0.0008437534440982122,13.998599999639213,0.9341285138975635,1.6801215100984008,13.998599999639213,1.8649618719743023e-9,9.676664838259621e-8,13.998599999639213,1.8668664035646214e-9,1.4829548112564205e-7,13.998599999639213,1.637684701035967e-6,1.4903918880083242e-6,13.969849246231156,1.6678552943205418e-21,0.0
14.098589999635427,2.785063227376267e-10,1.1034157103363682e-7,14.098589999635427,0.020087005344509197,0.11871917836200814,14.098589999635427,0.004929123673625895,0.0176807560446642,14.098589999635427,5.806069073037931e-7,2.3926534104890444e-6,14.098589999635427,3.672223055078107e-6,0.0015447378024322498,14.098589999635427,0.002142616240592627,0.02423165331362048,14.098589999635427,2.0649477388222823e-6,0.0008678312512798154,14.098589999635427,0.829217612372613,0.988554395752324,14.098589999635427,2.6395584762994307e-9,9.817002355384847e-8,14.098589999635427,2.6421874640859598e-9,1.5041572930117372e-7,14.098589999635427,2.0649476333224445e-6,1.483573191817156e-6,14.07035175879397,2.7012260489900017e-21,0.0
14.198579999631642,2.882048462105284e-10,1.118836351752742e-7,14.198579999631642,0.02159703611829462,0.13006600769331092,14.198579999631642,0.0052111506504460324,0.018312974661891204,14.198579999631642,5.274068456422026e-7,3.114911747212729e-6,14.198579999631642,3.776383673191525e-6,0.0015513406993752823,14.198579999631642,0.0021954747617564333,0.026341513867026982,14.198579999631642,2.1632810223260616e-6,0.0008915927742228659,14.198579999631642,1.0188528577465692,0.8424808234796494,14.198579999631642,2.672786713383241e-9,1.0475467215745427e-7,14.198579999631642,2.6752010044322764e-9,1.4937558599843996e-7,14.198579999631642,2.163280960091039e-6,1.8551685809913074e-6,14.170854271356784,4.009628174378694e-21,0.0
14.298569999627857,2.78084978556985e-10,1.1359469963025252e-7,14.298569999627857,0.02159769761287466,0.12606725244354924,14.298569999627857,0.005119064206543744,0.018748313228552527,14.298569999627857,4.3695200675614586e-7,3.099716871515241e-6,14.298569999627857,3.606608987506627e-6,0.0015648593567285027,14.298569999627857,0.0020920115547171047,0.026037027313296962,14.298569999627857,2.107219423545958e-6,0.0009177999598740663,14.298569999627857,0.9847533200280462,1.5670740727517996,14.298569999627857,2.5714262383378913e-9,1.0569246310092583e-7,14.298569999627857,2.5737733135770664e-9,1.4696324109109418e-7,14.298569999627857,2.1072193517482587e-6,1.9471572758727526e-6,14.271356783919598,3.741675413698405e-21,0.0
