seed,dt,error
49,8.96369887e-07,2.2494225415301945e-05
0,1.21848613e-06,0.0002483141995202
1,1.21848613e-06,0.0001664540199797
2,1.21848613e-06,7.932635157612332e-05
3,1.21848613e-06,4.680982140052242e-05
4,1.21848613e-06,0.0003301184914292
5,1.21848613e-06,0.0003919720214061
6,1.21848613e-06,1.49355389334356e-07
7,1.21848613e-06,7.943858505676271e-05
8,1.21848613e-06,0.0003766967408347
9,1.21848613e-06,0.0002877896843601
10,1.21848613e-06,6.884505772809968e-05
11,1.21848613e-06,0.0007331249974196
12,1.21848613e-06,0.0005736677107251
13,1.21848613e-06,0.0003329194335334
14,1.21848613e-06,0.0001829029140535
15,1.21848613e-06,0.0001518993848335
16,1.21848613e-06,0.0004901784137655
17,1.21848613e-06,0.0002881263587431
18,1.21848613e-06,0.0001624571907807
19,1.21848613e-06,0.0008602388239078
20,1.21848613e-06,0.0001003852886113
21,1.21848613e-06,0.0002989262427591
22,1.21848613e-06,8.355129059594027e-05
23,1.21848613e-06,0.0002992341132104
24,1.21848613e-06,0.0001568680711448
25,1.21848613e-06,0.0002832982612011
26,1.21848613e-06,0.0004453730165878
27,1.21848613e-06,0.0001723084550762
28,1.21848613e-06,7.963207613906426e-05
29,1.21848613e-06,1.5999153846305995e-05
30,1.21848613e-06,9.30400417270836e-05
31,1.21848613e-06,1.3021638075683232e-05
32,1.21848613e-06,0.0002483847341578
33,1.21848613e-06,4.955010178014978e-05
34,1.21848613e-06,0.0002387814742117
35,1.21848613e-06,0.0003050800632306
36,1.21848613e-06,0.0007578207409767
37,1.21848613e-06,0.0006216554802734
38,1.21848613e-06,9.490905681939893e-05
39,1.21848613e-06,0.0004686994071501
40,1.21848613e-06,0.0003809929533921
41,1.21848613e-06,0.0004948223435547
42,1.21848613e-06,0.0003822791116895
43,1.21848613e-06,7.948944011819586e-05
44,1.21848613e-06,0.000621247892875
45,1.21848613e-06,0.0003268336256935
46,1.21848613e-06,0.0005382775703275
47,1.21848613e-06,0.0002235088176385
48,1.21848613e-06,0.0001130991343011
49,1.21848613e-06,0.0003115448999014
0,2.89675556e-06,0.0049773678215775
1,2.89675556e-06,0.0024416557853031
2,2.89675556e-06,0.0001787395196711
3,2.89675556e-06,0.0018966413867077
4,2.89675556e-06,0.0004239447475765
5,2.89675556e-06,0.0012492096947266
6,2.89675556e-06,0.0008205283972163
7,2.89675556e-06,0.002957513646153
8,2.89675556e-06,0.0011929716632699
9,2.89675556e-06,0.0021585090102385
10,2.89675556e-06,0.000183421798836
11,2.89675556e-06,0.0003259005200278
12,2.89675556e-06,0.0012584853025337
13,2.89675556e-06,0.0006944528114547
14,2.89675556e-06,0.0020911917395336
15,2.89675556e-06,0.0018871939664188
16,2.89675556e-06,0.0005471270488382
17,2.89675556e-06,0.001863091846803
18,2.89675556e-06,0.0027428475126757
19,2.89675556e-06,0.0042282029177046
20,2.89675556e-06,0.0022260710729581
21,2.89675556e-06,0.0028919808342774
22,2.89675556e-06,0.0020442716683248
23,2.89675556e-06,0.0016260828118726
24,2.89675556e-06,0.0022556639538774
25,2.89675556e-06,0.0012932040801929
