seed dt integration_type
42 4.85088067e-06 "Fincham1992"
43 4.85088067e-06 "Fincham1992"
44 4.85088067e-06 "Fincham1992"
45 4.85088067e-06 "Fincham1992"
46 4.85088067e-06 "Fincham1992"
47 4.85088067e-06 "Fincham1992"
48 4.85088067e-06 "Fincham1992"
49 4.85088067e-06 "Fincham1992"
0 8.85088067e-06 "Fincham1992"
1 8.85088067e-06 "Fincham1992"
2 8.85088067e-06 "Fincham1992"
3 8.85088067e-06 "Fincham1992"
4 8.85088067e-06 "Fincham1992"
5 8.85088067e-06 "Fincham1992"
6 8.85088067e-06 "Fincham1992"
7 8.85088067e-06 "Fincham1992"
8 8.85088067e-06 "Fincham1992"
9 8.85088067e-06 "Fincham1992"
10 8.85088067e-06 "Fincham1992"
11 8.85088067e-06 "Fincham1992"
12 8.85088067e-06 "Fincham1992"
13 8.85088067e-06 "Fincham1992"
14 8.85088067e-06 "Fincham1992"
15 8.85088067e-06 "Fincham1992"
16 8.85088067e-06 "Fincham1992"
17 8.85088067e-06 "Fincham1992"
18 8.85088067e-06 "Fincham1992"
19 8.85088067e-06 "Fincham1992"
20 8.85088067e-06 "Fincham1992"
21 8.85088067e-06 "Fincham1992"
22 8.85088067e-06 "Fincham1992"
23 8.85088067e-06 "Fincham1992"
24 8.85088067e-06 "Fincham1992"
25 8.85088067e-06 "Fincham1992"
26 8.85088067e-06 "Fincham1992"
27 8.85088067e-06 "Fincham1992"
28 8.85088067e-06 "Fincham1992"
29 8.85088067e-06 "Fincham1992"
30 8.85088067e-06 "Fincham1992"
31 8.85088067e-06 "Fincham1992"
32 8.85088067e-06 "Fincham1992"
33 8.85088067e-06 "Fincham1992"
34 8.85088067e-06 "Fincham1992"
35 8.85088067e-06 "Fincham1992"
36 8.85088067e-06 "Fincham1992"
37 8.85088067e-06 "Fincham1992"
38 8.85088067e-06 "Fincham1992"
39 8.85088067e-06 "Fincham1992"
40 8.85088067e-06 "Fincham1992"
41 8.85088067e-06 "Fincham1992"
42 8.85088067e-06 "Fincham1992"
43 8.85088067e-06 "Fincham1992"
44 8.85088067e-06 "Fincham1992"
45 8.85088067e-06 "Fincham1992"
46 8.85088067e-06 "Fincham1992"
47 8.85088067e-06 "Fincham1992"
48 8.85088067e-06 "Fincham1992"
49 8.85088067e-06 "Fincham1992"
0 1.93117038e-05 "Fincham1992"
1 1.93117038e-05 "Fincham1992"
2 1.93117038e-05 "Fincham1992"
3 1.93117038e-05 "Fincham1992"
4 1.93117038e-05 "Fincham1992"
5 1.93117038e-05 "Fincham1992"
6 1.93117038e-05 "Fincham1992"
7 1.93117038e-05 "Fincham1992"
8 1.93117038e-05 "Fincham1992"
9 1.93117038e-05 "Fincham1992"
10 1.93117038e-05 "Fincham1992"
11 1.93117038e-05 "Fincham1992"
12 1.93117038e-05 "Fincham1992"
13 1.93117038e-05 "Fincham1992"
14 1.93117038e-05 "Fincham1992"
15 1.93117038e-05 "Fincham1992"
16 1.93117038e-05 "Fincham1992"
17 1.93117038e-05 "Fincham1992"
18 1.93117038e-05 "Fincham1992"
19 1.93117038e-05 "Fincham1992"
20 1.93117038e-05 "Fincham1992"
21 1.93117038e-05 "Fincham1992"
22 1.93117038e-05 "Fincham1992"
23 1.93117038e-05 "Fincham1992"
24 1.93117038e-05 "Fincham1992"
25 1.93117038e-05 "Fincham1992"
26 1.93117038e-05 "Fincham1992"
27 1.93117038e-05 "Fincham1992"
28 1.93117038e-05 "Fincham1992"
29 1.93117038e-05 "Fincham1992"
30 1.93117038e-05 "Fincham1992"
31 1.93117038e-05 "Fincham1992"
32 1.93117038e-05 "Fincham1992"
33 1.93117038e-05 "Fincham1992"
